division_num,division_nam,district_num,district_nam
4,Southern Eastern,21,Balaka
5,Southern Western,25,Blantyre City
5,Southern Western,26,Blantyre Rural
5,Southern Western,28,Chikwawa
6,Shire Highlands,30,Chiradzulu
1,Northern,1,Chitipa
3,Central Western,18,Dedza
2,Central Eastern,11,Dowa
1,Northern,2,Karonga
2,Central Eastern,9,Kasungu
1,Northern,8,Likoma
3,Central Western,15,Lilongwe City
3,Central Western,16,Lilongwe Rural East
3,Central Western,17,Lilongwe Rural West
4,Southern Eastern,22,Machinga
4,Southern Eastern,20,Mangochi
3,Central Western,14,Mchinji
6,Shire Highlands,32,Mulanje
5,Southern Western,27,Mwanza
1,Northern,4,Mzimba North
1,Northern,5,Mzimba South
1,Northern,6,Mzuzu City
5,Southern Western,34,Neno
1,Northern,7,Nkhata Bay
2,Central Eastern,10,Nkhotakota
5,Southern Western,29,Nsanje
3,Central Western,19,Ntcheu
2,Central Eastern,12,Ntchisi
6,Shire Highlands,33,Phalombe
1,Northern,3,Rumphi
2,Central Eastern,13,Salima
6,Shire Highlands,31,Thyolo
4,Southern Eastern,24,Zomba Rural
4,Southern Eastern,23,Zomba Urban
