var_name,label,format,Dashboard,Description_Dashboard
school_id,school id,%10.0g,TRUE,
teacher_id,teacher id,%8.0g,TRUE,
ODL,Highest level of teacher training = ODL,%9.0g,TRUE,
IPTE,Highest level of teacher training = IPTE,%9.0g,TRUE,
time_prepare_lesson,time spent on preparing lesson plan(in hours),%9.0g,TRUE,
time_tch_stu,Time spent teaching students,%9.0g,TRUE,
time_mark_hw,Time spent marking hw,%9.0g,TRUE,
time_sch_adm,Time spent on school admin,%9.0g,TRUE,
time_help_oth,Time spent helping others,%9.0g,TRUE,
time_other,Time spent on other activities,%9.0g,TRUE,
ht_observe,"",%37.0g,TRUE,
tch_reward,"",%15.0g,TRUE,
basic_qualification,Teacher has basic qualifications,%9.0g,TRUE,
above_high_qualification,Teacher has above high-school qualifications,%9.0g,TRUE,
tch_trained,Teacher trained,%9.0g,TRUE,
unpaid_claim_yes,teacher has unpaid claim including salary delays,%9.0g,TRUE,
salary_delay_yes,Salary has been delayed,%9.0g,TRUE,
num_salary_delay,number of salary delays in the past 12 months,%9.0g,TRUE,
in_service_train,Received in-service training,%9.0g,TRUE,
EnglishTotal_Percent,English percent score,%9.0g,TRUE,
MathsTotal_Percent,Math percent score,%9.0g,TRUE,
ChichewaTotal_Percent,Chichewa percent score,%9.0g,TRUE,
Total_score_percent_tch,Total percent score,%9.0g,TRUE,
ENG_hard_item_percent,English hard item percent score,%9.0g,TRUE,
MATH_hard_item_percent,Math hard item percent score,%9.0g,TRUE,
tch_female,Teacher female,%9.0g,TRUE,
